description,category
got cashback from paytm - bookmyshow movie tickt got it during sale - Rs 249,entertainment
train booking via IRCTC,travel
college fee payment,education
Local Dhabha order - burger and fries,food
internet recharge via Jio,utilities
home decor items,home
anti ageing serum purchase,personal_care
Amazon,electronics
bought T-shirt from Lifestyle,shopping
Lifestyle - sneakers purchase purchased from nearby store - Rs 299,shopping
doctor consult - fever bought because needed,health
ott subscription rental,entertainment
Flipkart,electronics
doctor consult - fever,health
game purchase on Steam purchased from nearby store,entertainment
perfom nykaa paid for,personal_care
Coursera - stationery purchase at Coursera,education
Steam - ott subscription rental,entertainment
ordered power bank from Mi Store - Rs 249,electronics
ott subscription rental purchased from nearby store,entertainment
Netflix annual plan,subscription
late night snack from Local Dhabha,food
Coursera,education
Maintenance - maintenance charges for flat,bills
Gift Shop - gift box chocolates,gifts
lab test at Apollo Pharmacy bought for home use,health
"Spencer's - milk, eggs, vegetables",groceries
birthday gift for friend - Rs 50,gifts
TataCliq purchase,electronics
MakeMyTrip ride to airport paid for,travel
Car Service Center - engine oil change at Car Service Center,auto
Mi Store - ordered power bank from Mi Store - Rs 199,electronics
train booking via IRCTC bought for home use,travel
new bedsheet purchase from Local Home Store,home
face wash and moisturizer from Nykaa bought for home use,personal_care
bread,groceries
PhonePe - bank transfer to friend - Rs 249,finance
dinner at McDonald's with friends bought because needed,food
gift box chocolates got it during sale,gifts
doctor consult - fever got it during sale,health
"bread, butter, cereal from Spencer's",groceries
House Rent - house rent for september,rent
Uber - flight ticket to delhi,travel
Landlord Rent - security deposit for rent,rent
renewed subscription - Spotify,subscription
upi payment,finance
concert ticket booking ordered online,entertainment
Amazon Prime monthly subscription,subscription
wallet topup Paytm Wallet,finance
water bill payment,utilities
Netflix - membership renewal Netflix,subscription
Spotify annual plan paid for - Rs 1200,subscription
wallet topup Bank Transfer purchased from nearby store,finance
NEFT received,finance
Play Store - game purchase on Play Store,entertainment
Local Home Store - kitchen utensils from Local Home Store,home
renewed subscription,subscription
Food Stall order,food
Lifestyle - sneakers purchase paid for,shopping
fruits and veg purchase at Reliance Fresh - Rs 100,groceries
upi payment,finance
Local Mall - new backpack from Local Mall,shopping
late fee payment - Rs 499,bills
Play Store movie ticket - Rs 1200,entertainment
recharge jio - loan EMI deduction,bills
internet recharge via Electricity Board,utilities
late fee payment,bills
home decor items,home
KFC order,food
water bill payment bought because needed - Rs 199,utilities
Sephora,personal_care
college fee payment,education
membership renewal YouTube Premium ordered online,subscription
home decor items got it during sale,home
lab test at Practo,health
recharge jio - late night snack from KFC,food
PVR - PVR movie ticket,entertainment
Beauty Store,personal_care
freelance payment client xyz,salary
Loan EMI - maintenance charges for flat,bills
Local Home Store,home
bike service at Car Service Center,auto
fruits and veg purchase at Big Bazaar,groceries
Local Mall online - summer dress purchased from nearby store,shopping
Car Service Center,auto
Myntra,shopping
Netflix annual plan got it during sale,subscription
Zara online - summer dress paid for - Rs 100,shopping
college fee payment,education
College Fee,education
MakeMyTrip - MakeMyTrip ride to airport,travel
breakfast,food
Amazon Prime annual plan ordered online,subscription
ott subscription rental,entertainment
Water Supply - mobile postpaid bill Water Supply,utilities
bus ticket to city,travel
bread,groceries
game purchase on BookMyShow purchased from nearby store,entertainment
took ola share - security deposit for rent ordered online,rent
Practo,health
Coursera - python course,education
new bedsheet purchase from Local Home Store,home
credit card repayment,bills
loan EMI deduction - Rs 150,bills
breakfast - paratha and chai,food
bought T-shirt from Zara,shopping
exam form fee,education
Godrej Gift - birthday gift for friend,gifts
pharmacy,health
Local Mall online - Rs 299,shopping
monthly groceries from Reliance Fresh,groceries
Flipkart purchase - bluetooth headphone,electronics
fruits and veg purchase at Spencer's,groceries
bike service at Car Service Center bought for home use,auto
IRCTC - train booking via IRCTC,travel
Cafe Coffee Day order - burger and fries,food
renewed subscription,subscription
water bill payment,utilities
Zara online,shopping
perfume Beauty Store bought because needed,personal_care
security deposit for rent,rent
Bikeman Garage - petrol full tank bought because needed,auto
upi payment,finance
Practo,health
bike service at Car Service Center ordered online,auto
Cafe Coffee Day,food
pharmacy - antibiotics purchased from nearby store - Rs 150,health
Udemy,education
IndiGo ride to airport,travel
"bread, butter, cereal from DMart",groceries
Steam - concert ticket booking,entertainment
ott subscription rental got it during sale,entertainment
PVR - ott subscription rental,entertainment
bought flowers from Gift Shop,gifts
Dominos order - burger and fries ordered online,food
"mumma grocery - Big Bazaar - bread, butter, cereal from Big Bazaar",groceries
late fee payment,bills
Reliance Digital,electronics
dinner at Pizza Hut with friends ordered online,food
Mi Store purchase - bluetooth headphone,electronics
McDonald's order - burger and fries bought for home use,food
Ikea - new bedsheet purchase from Ikea,home
Beauty Store,personal_care
water bill payment ordered online,utilities
renewed subscription,subscription
Amazon Prime annual plan,subscription
Uber - train booking via IRCTC,travel
BSNL - mobile postpaid bill BSNL,utilities
pharmacy - antibiotics purchased from nearby store,health
new bedsheet purchase from Home Centre,home
credit card repayment,bills
doctor consult - fever - Rs 199,health
bonus credited got it during sale,salary
late fee payment,bills
"bread, butter, cereal from Nature's Basket bought for home use",groceries
loan EMI deduction,bills
flight ticket to delhi,travel
invoice paid - Upwork ordered online,salary
H&M online,shopping
rent payment to landlord bought because needed,rent
monthly groceries from Nature's Basket,groceries
Mi Store - ordered power bank from Mi Store - Rs 249,electronics
credit card repayment,bills
bought flowers from Godrej Gift,gifts
renewed subscription - Netflix ordered online,subscription
Electricity Board electricity bill - Rs 50,utilities
mobile postpaid bill Electricity Board got it during sale,utilities
TataCliq,electronics
car wash and cleaning purchased from nearby store,auto
anti ageing serum purchase got it during sale,personal_care
Maintenance - late fee payment,bills
internet recharge via Electricity Board,utilities
renewed subscription,subscription
kitchen utensils from Home Centre,home
Ola ride to airport,travel
mumma grocery - dinner at Local Dhabha with friends,food
Amazon purchase - bluetooth headphone - Rs 1200,electronics
TataCliq - tempered glass screen protector bought because needed - Rs 1200,electronics
Gift Shop - bought flowers from Gift Shop,gifts
new backpack from H&M,shopping
breakfast - paratha and chai,food
kitchen utensils from Home Centre,home
H&M online - summer dress,shopping
concert ticket booking - Rs 199,entertainment
BookMyShow movie ticket ordered online,entertainment
Bank Transfer - NEFT received,finance
"Reliance Fresh - milk, eggs, vegetables",groceries
bank transfer to friend bought for home use,finance
Gift Shop - bought flowers from Gift Shop,gifts
kitchen utensils from Home Centre,home
Maintenance - loan EMI deduction,bills
bus ticket to city - Rs 150,travel
bus ticket to city purchased from nearby store,travel
BSNL electricity bill,utilities
Water Supply - water bill payment,utilities
emi deducted - Spotify - Spotify annual plan,subscription
monthly groceries from Big Bazaar - Rs 100,groceries
renewed subscription,subscription
College Fee - stationery purchase at College Fee,education
Amazon Prime - Amazon Prime monthly subscription,subscription
Lifestyle - new backpack from Lifestyle,shopping
Gift Shop - bought flowers from Gift Shop - Rs 299,gifts
freelance payment client xyz,salary
kitchen utensils from Home Centre ordered online - Rs 199,home
Bikeman Garage - bike service at Bikeman Garage,auto
credit card repayment,bills
breakfast,food
engine oil change at HP Petrolpump,auto
Samsung Shop purchase,electronics
game purchase on Play Store,entertainment
loan EMI deduction,bills
upi payment ordered online,finance
Ajio online,shopping
Ikea - home decor items,home
home decor items,home
NEFT received,finance
bonus credited,salary
got cashback from paytm - maintenance charges for flat bought because needed,bills
monthly groceries from Reliance Fresh paid for,groceries
wallet topup Bank Transfer,finance
Home Centre - new bedsheet purchase from Home Centre - Rs 199,home
Stationery Shop,education
Jio electricity bill - Rs 299,utilities
NEFT received paid for - Rs 50,finance
ott subscription rental,entertainment
game purchase on Play Store,entertainment
home decor items paid for,home
Steam movie ticket got it during sale,entertainment
lab test at Healthcare Clinic,health
HP Petrolpump - petrol full tank bought for home use,auto
paid bhaiya for delivery - new bedsheet purchase from Local Home Store bought because needed,home
invoice paid - Upwork - Rs 1200,salary
maintenance charges for flat,bills
new backpack from H&M,shopping
monthly groceries from Nature's Basket,groceries
game purchase on Steam,entertainment
invoice paid,salary
gift box chocolates bought for home use,gifts
Play Store - ott subscription rental,entertainment
bhai petrol bharwaya - Netflix annual plan bought because needed,subscription
new bedsheet purchase from Ikea bought because needed,home
monthly groceries from Local Kirana,groceries
college fee payment,education
wallet topup PhonePe,finance
membership renewal Spotify,subscription
Food Stall,food
internet recharge via Electricity Board,utilities
TataCliq purchase - bluetooth headphone,electronics
face wash and moisturizer from Sephora bought for home use,personal_care
Stationery Shop - python course,education
wallet topup NEFT,finance
Netflix annual plan,subscription
kitchen utensils from Ikea,home
water bill payment bought for home use,utilities
home decor items,home
McDonald's order - burger and fries,food
bought T-shirt from Lifestyle,shopping
Amazon purchase - bluetooth headphone ordered online,electronics
Netflix monthly subscription bought because needed,subscription
Ikea - kitchen utensils from Ikea,home
Gift Shop - bought flowers from Gift Shop - Rs 499,gifts
Ajio online - summer dress,shopping
kitchen utensils from Local Home Store,home
Sephora - sunscreen spf 50 bought for home use,personal_care
Spotify annual plan,subscription
bought flowers from Gift Shop,gifts
bought T-shirt from Ajio got it during sale,shopping
MakeMyTrip - train booking via IRCTC,travel
Cleartrip ride to airport,travel
anti ageing serum purchase,personal_care
Flipkart purchase - bluetooth headphone purchased from nearby store,electronics
salary credited,salary
"Grofers - bread, butter, cereal from Grofers",groceries
Spotify annual plan,subscription
Beauty Store,personal_care
ott subscription rental,entertainment
bought T-shirt from Myntra - Rs 50,shopping
face wash and moisturizer from Beauty Store ordered online,personal_care
Reliance Digital purchase,electronics
Uber ride to airport - Rs 100,travel
bus ticket to city ordered online,travel
bought T,shopping
dinner at Cafe Coffee Day with friends,food
exam form fee,education
Coursera,education
ordered power bank from Samsung Shop,electronics
got cashback from paytm - home decor items,home
bike service at HP Petrolpump got it during sale,auto
monthly groceries from Nature's Basket,groceries
NEFT - upi payment,finance
bought flowers from Godrej Gift,gifts
house rent for september,rent
wallet topup Paytm Wallet - Rs 1200,finance
emi deducted - home decor items,home
Flipkart purchase - bluetooth headphone - Rs 100,electronics
membership renewal Amazon Prime,subscription
Lifestyle online - summer dress,shopping
mumma grocery - mobile postpaid bill Electricity Board bought for home use,utilities
upi payment,finance
Car Service Center,auto
Local Dhabha order - burger and fries,food
upi payment,finance
monthly groceries from Local Kirana,groceries
Myntra online,shopping
maintenance charges for flat,bills
Car Service Center,auto
Water Supply - internet recharge via Water Supply,utilities
Udemy - college fee payment,education
invoice paid - Upwork,salary
Jio electricity bill,utilities
maintenance charges for flat,bills
wallet topup PhonePe - Rs 499,finance
Water Supply electricity bill,utilities
perfume Sephora paid for,personal_care
invoice paid - Upwork got it during sale - Rs 150,salary
Food Stall - pizza for dinner bought for home use,food
wallet topup NEFT - Rs 50,finance
NEFT received purchased from nearby store,finance
monthly groceries from Nature's Basket,groceries
bought flowers from Flower Store,gifts
BookMyShow - concert ticket booking,entertainment
YouTube Premium monthly subscription,subscription
Coursera - python course,education
Credit Card Payment - credit card repayment,bills
home decor items,home
dinner at Food Stall with friends,food
late night snack from KFC,food
Sephora,personal_care
paid bhaiya for delivery - credit card repayment,bills
loan EMI deduction - Rs 1200,bills
engine oil change at Shell Fuel bought because needed,auto
YouTube Premium annual plan,subscription
Ikea - floor cleaner and mop,home
Nykaa - sunscreen spf 50 got it during sale,personal_care
Mi Store - USB-C cable got it during sale,electronics
monthly groceries from Big Bazaar bought for home use,groceries
Samsung Shop,electronics
gift box chocolates bought because needed - Rs 499,gifts
Freelance Payment - bonus credited,salary
Local Mall - sneakers purchase paid for,shopping
loan EMI deduction,bills
late night snack from KFC bought because needed - Rs 299,food
perfume Sephora,personal_care
college fee payment purchased from nearby store - Rs 150,education
stationery purchase at Stationery Shop bought because needed,education
Shell Fuel - engine oil change at Shell Fuel,auto
wallet topup NEFT - Rs 499,finance
Nykaa - sunscreen spf 50 purchased from nearby store,personal_care
internet recharge via Jio,utilities
late fee payment bought for home use,bills
lab test at Practo bought for home use - Rs 150,health
Stationery Shop,education
lab test at MedPlus,health
ott subscription rental,entertainment
face wash and moisturizer from Beauty Store paid for,personal_care
Mi Store - tempered glass screen protector,electronics
Bikeman Garage - car wash and cleaning,auto
flight ticket to delhi purchased from nearby store,travel
bike service at Bikeman Garage got it during sale,auto
PVR - concert ticket booking,entertainment
gift box chocolates ordered online - Rs 150,gifts
anti ageing serum purchase,personal_care
bought T,shopping
ott subscription rental,entertainment
mobile postpaid bill Jio - Rs 249,utilities
doctor consult - fever got it during sale,health
McDonald's,food
Zara,shopping
credit card repayment,bills
Uber - flight ticket to delhi,travel
MedPlus - paracetamol and vitamins paid for - Rs 199,health
gift box chocolates,gifts
Coursera - python course,education
invoice paid,salary
breakfast - paratha and chai bought for home use,food
train booking via IRCTC,travel
Netflix monthly subscription,subscription
NEFT received,finance
Uber ride to airport,travel
pharmacy - Rs 100,health
paid bhaiya for delivery - credit card repayment purchased from nearby store,bills
Bikeman Garage,auto
anti ageing serum purchase,personal_care
invoice paid - Upwork,salary
emi deducted - freelance payment client xyz,salary
Flipkart,electronics
lab test at City Hospital,health
bank transfer to friend,finance
exam form fee,education
anniversary gift shopping,gifts
kitchen utensils from Home Centre,home
concert ticket booking,entertainment
Home Centre - kitchen utensils from Home Centre,home
Zara online - Rs 50,shopping
NEFT received paid for,finance
house rent for september,rent
Car Service Center,auto
Spotify - Spotify annual plan,subscription
dinner at Dominos with friends,food
lab test at MedPlus - Rs 299,health
TataCliq - tempered glass screen protector bought for home use,electronics
Local Home Store - floor cleaner and mop,home
NEFT received bought because needed,finance
Mi Store,electronics
new backpack from Ajio got it during sale,shopping
Play Store movie ticket,entertainment
Udemy,education
salary credited - ACME Corp got it during sale - Rs 999,salary
ott subscription rental,entertainment
renewed subscription,subscription
refund from amazon - ordered power bank from Reliance Digital,electronics
DMart,groceries
Credit Card Payment - credit card repayment,bills
refund from amazon - membership renewal YouTube Premium,subscription
exam form fee - Rs 150,education
Shell Fuel,auto
breakfast - paratha and chai,food
Ikea - new bedsheet purchase from Ikea,home
game purchase on Play Store,entertainment
car wash and cleaning ordered online,auto
Dominos,food
game purchase on PVR,entertainment
Stationery Shop - Rs 499,education
gift box chocolates purchased from nearby store,gifts
college fee payment purchased from nearby store,education
MedPlus - Rs 249,health
paid bhaiya for delivery - Amazon Prime - membership renewal Amazon Prime,subscription
breakfast,food
Healthcare Clinic - Rs 249,health
flight ticket to delhi purchased from nearby store,travel
exam form fee ordered online,education
College Fee,education
renewed subscription - YouTube Premium - Rs 299,subscription
ordered power bank from Flipkart,electronics
late night snack from McDonald's paid for,food
lab test at MedPlus,health
Electricity Board electricity bill bought for home use,utilities
anniversary gift shopping,gifts
KFC order - burger and fries,food
youtube premium - youtube premium monthly subscrption - Rs 299,subscription
Steam - game purchase on Steam,entertainment
stationery purchase at Udemy bought for home use,education
loan EMI deduction got it during sale,bills
Ikea - new bedsheet purchase from Ikea,home
ott subscription rental,entertainment
water bill payment ordered online,utilities
car wash and cleaning,auto
concert ticket booking,entertainment
gift box chocolates,gifts
"bread, butter, cereal from Spencer's bought because needed",groceries
mobile postpaid bill BSNL,utilities
late fee payment,bills
bike servce at hp petrolpump - Rs 499,auto
Coursera,education
Ola - flight ticket to delhi - Rs 299,travel
NEFT received,finance
Upwork Payout - freelance payment client xyz,salary
Steam - concert ticket booking,entertainment
Myntra - sneakers purchase,shopping
mobile postpaid bill Jio,utilities
Amazon Prime - Amazon Prime annual plan,subscription
new bedsheet purchase from Home Centre,home
gift box chocolates,gifts
upi payment,finance
refund from amazon - concert tkt booking,entertainment
college canteen maggi - monthly groceries from Big Bazaar,groceries
Amazon Prime - membership renewal Amazon Prime,subscription
Car Service Center - petrol full tank,auto
face wash and moisturizer from Sephora ordered online,personal_care
breakfast - paratha and chai,food
Local Mall - sneakers purchase purchased from nearby store,shopping
doctor consult - fever paid for,health
engine oil change at HP Petrolpump bought because needed,auto
internet recharge via Water Supply paid for,utilities
birthday gift for friend,gifts
bought T-shirt from Ajio got it during sale,shopping
lab test at Healthcare Clinic bought for home use,health
bus ticket to city,travel
Shell Fuel - petrol full tank,auto
YouTube Premium annual plan purchased from nearby store,subscription
late night snack from Food Stall,food
car wash and cleaning,auto
Paytm Wallet - bank transfer to friend,finance
College Fee,education
Healthcare Clinic - paracetamol and vitamins,health
renewed subscription - Netflix,subscription
Coursera - college fee payment,education
pharmacy - antibiotics got it during sale,health
monthly groceries from Big Bazaar purchased from nearby store,groceries
apartment rent monthly purchased from nearby store,rent
renewed subscription - YouTube Premium,subscription
engine oil change at Car Service Center bought because needed,auto
College Fee - Rs 249,education
bought flowers from Godrej Gift,gifts
bought flowers from Gift Shop,gifts
lab test at Apollo Pharmacy paid for,health
renewed subscription,subscription
gift box chocolates ordered online,gifts
City Hospital - paracetamol and vitamins,health
loan EMI deduction,bills
Food Stall order,food
TataCliq - USB-C cable,electronics
breakfast,food
house rent for september,rent
Mi Store - ordered power bank from Mi Store - Rs 249,electronics
H&M - new backpack from H&M,shopping
Local Mall,shopping
bank transfer to friend,finance
train booking via IRCTC,travel
KFC order,food
Flipkart,electronics
bank transfer to friend,finance
Local Home Store - floor cleaner and mop ordered online,home
Stationery Shop,education
Zomato - dinner at Zomato with friends,food
car wash and cleaning bought because needed,auto
train booking via IRCTC,travel
ott subscription rental,entertainment
train booking via IRCTC,travel
upi payment,finance
Myntra - Rs 299,shopping
NEFT received,finance
KFC,food
paid bhaiya for delivery - bike service at Shell Fuel,auto
exam form fee,education
Healthcare Clinic - paracetamol and vitamins ordered online,health
pharmacy - antibiotics ordered online,health
"Nature's Basket - milk, eggs, vegetables",groceries
Maintenance - credit card repayment,bills
Local Home Store - floor cleaner and mop,home
bus ticket to city,travel
anniversary gift shopping,gifts
bought flowers from Godrej Gift,gifts
birthday gift for friend,gifts
Swiggy order,food
new bedsheet purchase from Local Home Store,home
loan EMI deduction - Rs 249,bills
Cleartrip - flight ticket to delhi,travel
engine oil change at Car Service Center purchased from nearby store,auto
pharmacy - antibiotics,health
BookMyShow movie ticket,entertainment
perfume Local Pharmacy bought because needed,personal_care
engine oil change at Shell Fuel bought for home use,auto
Home Centre - floor cleaner and mop purchased from nearby store,home
NEFT received,finance
ott subscription rental purchased from nearby store,entertainment
concert ticket booking,entertainment
stationery purchase at Stationery Shop purchased from nearby store,education
Lifestyle - sneakers purchase paid for,shopping
train booking via IRCTC,travel
flight ticket to delhi bought because needed,travel
game purchase on PVR,entertainment
college fee payment,education
YouTube Premium monthly subscription bought for home use,subscription
perfume Local Pharmacy,personal_care
Local Home Store - new bedsheet purchase from Local Home Store,home
Local Dhabha order,food
PhonePe - upi payment - Rs 1200,finance
anti ageing serum purchase,personal_care
Spotify monthly subscription purchased from nearby store,subscription
Grofers,groceries
Reliance Digital - Rs 249,electronics
concert ticket booking,entertainment
water bill payment,utilities
TataCliq - tempered glass screen protector,electronics
bhai petrol bharwaya - bought T-shirt from H&M - Rs 499,shopping
Local Home Store - kitchen utensils from Local Home Store,home
loan EMI deduction - Rs 249,bills
mobile postpaid bill Jio,utilities
bought flowers from Flower Store,gifts
Beauty Store,personal_care
BookMyShow movie ticket - Rs 249,entertainment
late fee payment,bills
ordered power bank from Flipkart ordered online,electronics
Local Mall - sneakers purchase got it during sale,shopping
"Spencer's - milk, eggs, vegetables paid for",groceries
internet recharge via Jio,utilities
birthday gift for friend got it during sale,gifts
Credit Card Payment - loan EMI deduction,bills
refund from amazon - invoice paid - Upwork purchased from nearby store,salary
IRCTC ride to airport - Rs 249,travel
NEFT received ordered online,finance
DMart - monthly groceries from DMart,groceries
Local Mall online,shopping
DMart,groceries
Jio - water bill payment,utilities
"bread, butter, cereal from Big Bazaar paid for",groceries
credit card repayment,bills
bought T-shirt from Local Mall,shopping
breakfast - paratha and chai bought for home use,food
Beauty Store - face wash and moisturizer from Beauty Store,personal_care
bought T-shirt from Local Mall purchased from nearby store,shopping
got cashback from paytm - maintenance charges for flat purchased from nearby store,bills
wallet topup PhonePe - Rs 100,finance
ott subscription rental,entertainment
City Hospital,health
new backpack from Lifestyle paid for,shopping
credit card repayment,bills
train booking via IRCTC,travel
wallet topup Bank Transfer ordered online,finance
invoice paid - Upwork ordered online,salary
HP Petrolpump - car wash and cleaning,auto
concert tkt booking - Rs 100,entertainment
exam form fee - Rs 100,education
Sephora - sunscreen spf 50 bought because needed,personal_care
Spotify - Spotify monthly subscription,subscription
anniversary gift shopping,gifts
engine oil change at HP Petrolpump,auto
pharmacy - antibiotics paid for,health
Lifestyle online - summer dress - Rs 100,shopping
late fee payment - Rs 50,bills
water bill payment ordered online,utilities
stationery purchase at Stationery Shop bought because needed,education
College Fee - exam form fee - Rs 1200,education
bank transfer to friend bought for home use - Rs 499,finance
mobile postpaid bill BSNL got it during sale,utilities
emi deducted - monthly groceries from DMart,groceries
membership renewal Amazon Prime - Rs 50,subscription
IndiGo - IndiGo ride to airport,travel
upi payment bought because needed - Rs 50,finance
mumma grocery - Shell Fuel - Rs 150,auto
bank transfer to friend - Rs 199,finance
bread,groceries
Paytm Wallet - bank transfer to friend,finance
mobile postpaid bill Water Supply,utilities
game purchase on Play Store - Rs 249,entertainment
"Nature's Basket - bread, butter, cereal from Nature's Basket",groceries
birthday gift for friend,gifts
Cleartrip - Cleartrip ride to airport,travel
NEFT received got it during sale,finance
NEFT received,finance
bread,groceries
YouTube Premium monthly subscription,subscription
fruits and veg purchase at Grofers,groceries
"bread, butter, cereal from DMart bought because needed",groceries
new backpack from Zara,shopping
emi deducted - new bedsheet purchase from Home Centre,home
fruits and veg purchase at DMart,groceries
freelance payment client xyz,salary
concert ticket booking,entertainment
monthly grosary from dmart bought because needed,groceries
"bread, butter, cereal from Reliance Fresh got it during sale",groceries
late fee payment paid for,bills
anti ageing serum purchase purchased from nearby store,personal_care
upi payment bought for home use - Rs 100,finance
Local Home Store - home decor items,home
Credit Card Payment - credit card repayment,bills
Ikea,home
water bill payment paid for,utilities
McDonald's,food
Local Pharmacy - perfume Local Pharmacy,personal_care
NEFT received,finance
Reliance Digital,electronics
Croma - USB-C cable,electronics
engine oil change at Shell Fuel,auto
Samsung Shop purchase - bluetooth headphone purchased from nearby store,electronics
ott subscription rental,entertainment
H&M online - summer dress paid for,shopping
Local Pharmacy - perfume Local Pharmacy,personal_care
recharge jio - house rent for september,rent
Ikea - floor cleaner and mop,home
Credit Card Payment - credit card repayment,bills
Local Pharmacy - perfume Local Pharmacy,personal_care
new backpack from Zara - Rs 1200,shopping
Amazon - ordered power bank from Amazon,electronics
doctor consult - fever bought for home use,health
mobile postpaid bill Electricity Board,utilities
anniversary gift shopping,gifts
car wash and cleaning purchased from nearby store,auto
apartment rent monthly,rent
Nature's Basket,groceries
bus ticket to city,travel
loan EMI deduction,bills
wallet topup PhonePe,finance
bus ticket to city,travel
bought flowers from Godrej Gift,gifts
ott subscription rental,entertainment
Zara - sneakers purchase paid for,shopping
water bill payment,utilities
Local Pharmacy - sunscreen spf 50,personal_care
maintenance charges for flat,bills
Ola ride to airport,travel
birthday gift for friend,gifts
credit card repayment - Rs 299,bills
train booking via IRCTC purchased from nearby store,travel
IndiGo ride to airport,travel
Ajio - sneakers purchase,shopping
mumma grocery - Apollo Pharmacy - paracetamol and vitamins,health
Spotify annual plan,subscription
invoice paid,salary
Coursera - python course bought because needed,education
Zara - sneakers purchase bought because needed,shopping
Udemy - stationery purchase at Udemy,education
Stationery Shop - python course bought for home use,education
breakfast - paratha and chai bought because needed,food
ott subscription rental,entertainment
wallet topup NEFT - Rs 999,finance
Coursera - Rs 150,education
Flipkart,electronics
fruits and veg purchase at Reliance Fresh purchased from nearby store,groceries
bonus credited,salary
Big Bazaar - fruits and veg purchase at Big Bazaar,groceries
college fee payment,education
ordered power bank from Amazon paid for,electronics
